"相对路径","SHA256"
"AGENTS.md","EC1A1DC9B663D9857082FA3B6729E7A827F83C40754A875BE44A3EFB36E8204E"
"Makefile","7F7C4B27F5473F419B77282E2597ECB99BC24403F571C1CA506587FEE2B74215"
"pyproject.toml","4AE3DE462F80C70CAC10EFCB8C59535B7190E9A48BBFE8C1BDA93DAD31F92E83"
"README.md","2D00B8F138648F328923FF199844A4B132AE7429DD04B7F91AC54B1F8A78AA3C"
"sitecustomize.py","A5C2561AD31D1CBDDB7EDAB179EC1B15AFDF838F65B603876BA3DED4BFB631E5"
"SPEC.md","93C577055E6381CC4CF030F8B34C8B29F0D43AF1DA869A767FD3CFB97F393E35"
"打包说明.md","ABE1DB2D2A407531AFF51DA32BD63549538990CF55CC73ED7A6F80DB5FDED7BE"
"docs\阶段0_复现规格与中文日志规范.md","47F89B7D26D5C0B46F435AB3F564ACAAD0252F4BFDD0651B738EC0AD1E05CAA6"
"llm4graphgen\__init__.py","62941402374EF311E9F2AB7D1D78BD023C05610EF0D9F05C7747280159A2F227"
"runs\20260214_132438\run.log","59026951E55DBAB43B65108324BE2C8764F5B3051B8239E71CA2DAC0F333C7D1"
"runs\20260214_135133\run.log","DA5AAF0C90F3710A519F10ECDB0C28B0E13F58A0C2A617384FB511120D5FAA16"
"runs\20260214_140406\llm_io.jsonl","6E07422309DE03F887EFBAC50A75D8EE002149A47D984F370AC14DD5CD7B6980"
"runs\20260214_140406\parser_result.json","74543CC2C099AD19BD9A1B98ADBB382B6176CA85E7A2376581C6196C05CB875D"
"runs\20260214_140406\run.log","4363764BA19A773D56362CDF6DF8B2357756022DB36B1EA17B2CAF6951ACA20E"
"runs\20260214_140406_fail\llm_io.jsonl","339934147D3653262E756C7170941EF8424A00F1AA7CC51DDB96EB79AEF689F7"
"runs\20260214_140406_fail\parser_result.json","BBF38B57FDDF43A137A670A31BBC4B050D13FC0163431E8E48CBC91824958253"
"runs\20260214_140406_fail\run.log","1F9DA23D526089CDB30D948394060E4E1921309886D238458CD1A1729DDD00C5"
"runs\20260214_140616\run.log","DF6D89ED34135E8DA02A8C3B23EEED959A99DC610822FD67609EA7516562FCD8"
"runs\20260214_141637\failure_cases.csv","A23465C1E25FFF3ECA757588848130332751697A93F809B09908FF890E443013"
"runs\20260214_141637\llm_io.jsonl","0C955C7622F30941C87B6904CD56C164EB7A489B27B688AA9FE35844BE16BD70"
"runs\20260214_141637\rule_based_metrics.csv","CBF68612E64EDB06A78FA8DE279B01FFA98A3B70EC316F9BF92027A5E9357BD9"
"runs\20260214_141637\rule_based_samples.csv","A6E410A64F83C313347283BBD88F003621A9D70C3D54BA53CD6680FFA013238F"
"runs\20260214_141637\run.log","F1589F72403BBAD0E82CA3A8659AA658BDFF58BAADB5743D90B849FF9A4E7468"
"runs\20260214_142537\distribution_metrics.csv","8134179E8183A4C69F5A5592DCE931DA2A9E9B558BB0B4BE8401F1A8267A17FC"
"runs\20260214_142537\distribution_samples.csv","A3934B86C60C0BE9DD0C6C1AB5279CB17BBBC9B4AA5776BFCF0F9B9DE566356D"
"runs\20260214_142537\failure_cases.csv","3D92C2EA878AC18DC7197A43CB4AF366265C06C7363D1E6FBABE52A2714EE5F6"
"runs\20260214_142537\llm_io.jsonl","16D32ADF645AE60E8EF825F8420EB3581601C155B415365AC1059A7F855CBF92"
"runs\20260214_142537\run.log","F7B5804BA47BF3A6366EEB9CDC1539D9EF7FB32CD1D9F516C980462A1A0E16BF"
"runs\20260214_143230\baseline_train_summary.csv","55A5068FB0AAEC0AE6959FBC4641D8BD27367D095C6293FBA403D5217F21593C"
"runs\20260214_143230\failure_cases.csv","202863917F385F813CA40F46F57A700E1A3B6D4F2D72FBD202A9182D2D8B4DD2"
"runs\20260214_143230\llm_io.jsonl","1F159F2949B2C94F6F103425A46FE8D67D9721DA9CD330052221EBA80AC5DED2"
"runs\20260214_143230\property_metrics.csv","8A567E4E386C848B85FE69578E0C89083BEC9D83E6826FC52B46099A6C7522EB"
"runs\20260214_143230\property_samples.csv","993CCC00E08CC9C899B2B67F017BCA6B58AED6A7EAB6D9EAF2955392E484140C"
"runs\20260214_143230\run.log","B25CE148C2562893505E3F126B5FC6E65D8249D450A25A10704987CD3389A599"
"runs\stage0\codex总结.md","BBA444C503DD664458325EA74F24585B75403D420968C1C495DB30C853D7BE7F"
"runs\stage0\验收报告.md","5796E256EC87996B92DBD4CF406115E5817448F014C35A4949C7BDAF1D6073E5"
"runs\stage0\关键输出\make_check输出.txt","29601B71075D91D3EF77C093A88311F8F66A23BD33495AE5013E1BFB968193E7"
"runs\stage0\关键输出\make_stage0_summary输出.txt","34E48A799CB7DD28D00D6213E411D32B1B025304A4F6D926B30275590FBB41D5"
"runs\stage0\关键输出\pip_install验证.txt","37CD8F8369C8ED4C6DDD64419AE2C4AE2E53AFB9BDCB55BEF3EA1AF998A786BC"
