sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_fewshot
1,CCN(CC)CC,True,CCN(CC)CC,,0.669466,1,False
2,CCOC(=O)N1CCN(CC1)C,True,CCOC(=O)N1CCN(C)CC1,,0.877827,1,False
3,invalid_smiles,False,,RDKit 无法解析该 SMILES。,,,
4,c1ccccc1N,True,Nc1ccccc1,,0.762791,1,False
5,CCO,True,CCO,,0.183036,0,False
6,C1CC1,True,C1CC1,,0.170961,0,True
7,C1=CC=CC=C1O,True,Oc1ccccc1,,0.419614,0,True
8,C1CC1(,False,,RDKit 无法解析该 SMILES。,,,
9,N[N+](=O)[O-],True,N[N+](=O)[O-],,0.291789,0,True
10,CCN1CCN(CC1)C(=O)C,True,CCN1CCN(C(C)=O)CC1,,0.829040,1,False
11,CCN(CC)CC,True,CCN(CC)CC,,0.669466,1,False
12,,False,,SMILES 为空字符串。,,,
