repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,signature,parse_failure_reason
2,cycle,Cycle,34,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
2,cycle,Cycle,35,LLM_ERROR: OpenAI 网络请求失败：_ssl.c:1011: The handshake operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '：' (U+FF1A) (<unknown>, line 1)"
2,cycle,Cycle,36,LLM_ERROR: OpenAI 网络请求失败：_ssl.c:1011: The handshake operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '：' (U+FF1A) (<unknown>, line 1)"
2,planar,Planar,1,"(15, [(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 10), (5, 11), (6, 12), (7, 13), (8,14), (9, 10), (10,11), (11, 12), (12, 13), (13, 14), (14, 9), (5, 6), (4, 7), (1, 8",True,False,,
2,planar,Planar,2,"(15, [(0,1), (0,2), (1,3), (1,4), (2,4), (2,5), (3,6), (3,7), (4,8), (5,9), (5,10), (6,10), (6,11), (7,11), (7,12), (8,12), (8,13), (9,13), (10,14), (11,14), (12,0), (13,1), (14,2), (14,3)])",True,False,,
2,planar,Planar,3,"(15, [(0,1), (0,2), (0,3), (1,2), (1,3), (2,3), (2,4), (4,5), (5,6), (6,7), (7,8), (8,9), (7,9), (5,8), (3,7), (1,6), (0,5), (3,10), (10,11), (11,12), (12,13), (13,14), (14,10), (11,14)])",True,False,,
2,planar,Planar,4,"(15, [(0,1), (0,2), (0,3), (0,4), (1,2), (1,5), (2,6), (3,7), (3,8), (4,9), (5,6), (5,10), (6,11), (7,8), (7,12), (8,13), (9,14), (10,11), (10,12), (11,13), (12,14), (13,14), (4,10), (2,8)])",True,False,,
2,planar,Planar,5,"(15, [(0,1), (0,2), (0,3), (1,4), (1,5), (2,6), (2,7), (3,8), (3,9), (4,10), (4,11), (5,12), (5,13), (6,14), (7,4), (8,5), (9,6), (10,7), (11,8), (12,9), (13,10), (14,11), (7,12), (8,13)])",True,False,,
2,planar,Planar,7,"(15, [(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 12), (10, 13), (11, 12), (11, 14), (12, 13), (13, 14), (14,",True,False,,
2,planar,Planar,8,"(15, [(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 5), (4, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 12), (9, 13), (10, 11), (10, 14), (11, 12), (12, 13), (13, 14), (14,",True,False,,
2,planar,Planar,10,"(15, [(0,1), (0,2), (0,3), (1,4), (1,5), (2,6), (2,7), (3,8), (3,9), (4,10), (5,11), (5,12), (6,13), (7,14), (8,14), (9,13), (10,11), (10,12), (11,13), (12,14), (4,6), (5,7), (8,10), (9,11)])",True,False,,
2,planar,Planar,11,"(15, [(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7), (6, 8), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10), (9, 11), (10, 11), (10, 12), (11, 12), (",True,False,,
2,planar,Planar,12,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,5), (1,6), (2,7), (3,8), (4,9), (5,10), (6,11), (7,12), (8,13)])",True,False,,
2,planar,Planar,17,"(15, [(0,1), (0,2), (0,3), (1,4), (1,5), (2,6), (2,7), (3,8), (3,9), (4,10), (5,11), (6,12), (7,13), (8,14), (9,0), (10,1), (11,2), (12,3), (13,4), (14,5), (10,6), (11,7), (12,8), (13,9)])",True,False,,
2,planar,Planar,21,"(15, [(0,1), (0,2), (0,4), (0,5), (1,2), (1,3), (1,6), (2,3), (2,7), (3,8), (4,5), (4,9), (5,6), (5,10), (6,7), (6,11), (7,8), (7,12), (8,13), (9,10), (10,11), (11,12), (12,13), (13,14)])",True,False,,
2,planar,Planar,22,"(15, [(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 10), (4, 11), (5, 12), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 0), (10, ",True,False,,
2,planar,Planar,23,"(15, [(0,1), (0,2), (1,2), (1,3), (2,4), (3,4), (3,5), (4,5), (4,6), (5,6), (5,7), (6,7), (7,8), (6,9), (8,9), (8,10), (9,10), (10,11), (9,12), (11,12), (11,13), (12,14), (13,14), (13,11)])",True,False,,
