repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,signature,parse_failure_reason
3,tree,Tree,1,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14)])",True,True,"15|0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14",
3,tree,Tree,2,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (6, 12), (7, 13), (8, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,6-12,7-13,8-14",
3,tree,Tree,3,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14)])",True,True,"15|0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14",
3,tree,Tree,4,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (6, 12), (6, 13), (7, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,6-12,6-13,7-14",
3,tree,Tree,5,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (5, 10), (6, 11), (7, 12), (8, 13), (9, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,5-10,6-11,7-12,8-13,9-14",
3,tree,Tree,6,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,7,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,8,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 12), (7, 13), (8, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,3-6,3-7,4-8,4-9,5-10,5-11,6-12,7-13,8-14",
3,tree,Tree,9,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (6, 12), (7, 13), (8, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,6-12,7-13,8-14",
3,tree,Tree,10,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,11,"(15, [(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (4, 10), (5, 11), (6, 12), (7, 13), (8, 14)])",True,True,"15|0-1,0-2,0-3,1-4,1-5,2-6,2-7,3-8,4-9,4-10,5-11,6-12,7-13,8-14",
3,tree,Tree,12,"(15, [(0,1), (0,2), (1,3), (1,4), (2,5), (2,6), (3,7), (3,8), (4,9), (5,10), (6,11), (7,12), (8,13), (9,14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,5-10,6-11,7-12,8-13,9-14",
3,tree,Tree,13,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (6, 12), (7, 13), (8, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,6-12,7-13,8-14",
3,tree,Tree,14,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,15,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,16,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,17,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (6, 12), (7, 13), (8, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,6-12,7-13,8-14",
3,tree,Tree,18,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,19,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
3,tree,Tree,20,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14)])",True,True,"15|0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14",
3,tree,Tree,21,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14)])",True,True,"15|0-1,0-2,1-3,1-4,2-5,2-6,3-7,3-8,4-9,4-10,5-11,5-12,6-13,6-14",
