repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,signature,parse_failure_reason
1,tree,Tree,22,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
1,tree,Tree,83,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
1,tree,Tree,84,LLM_ERROR: OpenAI 网络请求失败：_ssl.c:1011: The handshake operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '：' (U+FF1A) (<unknown>, line 1)"
1,cycle,Cycle,17,"LLM_ERROR: OpenAI 请求失败（HTTP 500）：{
  ""error"": {
    ""message"": ""The server had an error while processing your request. Sorry about that!"",
    ""type"": ""server_error"",
    ""param"": null,
    ""code"": nu",False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '（' (U+FF08) (<unknown>, line 1)"
1,cycle,Cycle,46,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
1,planar,Planar,1,"(15, [(0, 1), (1, 2), (2, 0), (3, 4), (4, 5), (5, 3), (5, 6), (6, 4), (6, 7), (7, 5), (7, 8), (8, 6), (8, 9), (9, 7), (9, 10), (10, 8), (10, 11), (11, 12), (12, 10), (12, 13), (14, 12)])",True,False,,
1,planar,Planar,3,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
1,planar,Planar,4,LLM_ERROR: OpenAI 网络请求失败：_ssl.c:1011: The handshake operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '：' (U+FF1A) (<unknown>, line 1)"
1,planar,Planar,5,"(15, [(0,1),(0,2),(0,3),(0,4),(1,2),(2,3),(3,4),(4,1),(1,5),(5,2),(4,6),(6,3),(5,7),(7,3),(6,8),(8,2),(5,9),(7,10),(6,11),(8,12),(1,13),(2,13),(3,14),(4,14)])",True,False,,
1,planar,Planar,8,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (4,5), (5,6), (6,7), (7,8), (8,4), (8,9), (9,10), (10,11), (11,12), (12,8), (13,14), (14,15), (15,13), (0,13), (4,14), (8,15), (0,2), (0,3), (0,4)])",False,False,,第 17 条边端点越界（节点范围应为 0..14）。
1,planar,Planar,10,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,8), (2,8), (4,8), (6,8), (7,8), (9,15), (11,15), (13,15), (14,15)])",False,False,,第 21 条边端点越界（节点范围应为 0..14）。
1,planar,Planar,11,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (5,6), (1,7), (7,8), (2,9), (9,10), (3,11), (11,12), (4,13), (13,14), (0,2), (1,3), (2,4), (3,0), (4,1)])",True,False,,
1,planar,Planar,13,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,0), (0,9), (9,10), (10,11), (11,12), (12,9), (0,12), (1,13), (3,13), (5,13), (7,13), (2,10), (4,12), (6,9), (8,11), (13,14)])",True,False,,
1,planar,Planar,16,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (0,14), (2,12), (3,11), (4,10), (5,9), (6,8), (7,13)])",True,False,,
1,planar,Planar,18,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (1,4), (2,5), (3,6), (4,7), (5,8), (6,9), (7,10), (8,11)])",True,False,,
1,planar,Planar,19,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (3,6), (6,9), (9,12), (12,15), (0,4), (4,8), (8,12), (12,16)])",False,False,,第 20 条边端点越界（节点范围应为 0..14）。
1,planar,Planar,20,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (4,5), (1,6), (2,6), (5,6), (2,7), (3,7), (6,7), (3,8), (4,8), (7,8), (0,9), (1,9), (8,9), (1,10), (2,10), (9,10), (5,9), (6,10), (7,0), (8,4)])",True,False,,
1,planar,Planar,21,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (5,6), (6,7), (7,8), (8,9), (9,5), (0,5), (1,6), (2,7), (3,8), (4,9), (10,11), (11,12), (12,13), (13,14), (14,10), (0,10), (2,11), (4,12), (1,14)])",True,False,,
1,planar,Planar,22,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (0,6), (0,9), (0,12), (5,8), (5,11), (10,13), (10,1), (7,2)])",True,False,,
1,planar,Planar,28,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0),(0,5),(5,10),(10,0),(1,6),(6,11),(11,1),(2,7),(7,12),(12,2)])",True,False,,
1,planar,Planar,29,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0), (9,10), (10,11), (11,12), (12,13), (13,14), (14,9), (0,3), (3,6), (6,9), (2,5), (5,8), (0,10), (0,11), (0,12), (0,13)])",True,False,,
1,planar,Planar,30,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (0,6), (0,9), (0,12), (1,4), (1,7), (2,5), (2,8), (2,11)])",True,False,,
