task_id,task_name,p_true,sample_id,raw_output,parse_success,judge_success,judge_positive,parse_failure_reason,judge_failure_reason
trees_or_cycles,Trees-or-cycles,0.2,1,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,2,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,3,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,4,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,5,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,6,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,7,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,8,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,9,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,10,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,1,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,2,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,3,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,4,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,5,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,6,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,7,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,8,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,9,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,10,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,1,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,2,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,3,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,4,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,5,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,6,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,7,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,8,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,9,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.6,10,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.8,1,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.8,2,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.8,3,"(10, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9)])",True,True,True,,
