"路径","是否存在"
"src/llm4graphgen/stage2_rule_based.py","True"
"tests/test_stage2_rule_based.py","True"
"runs/20260214_141637/llm_io.jsonl","True"
"runs/20260214_141637/rule_based_metrics.csv","True"
"runs/20260214_141637/rule_based_samples.csv","True"
"runs/20260214_141637/failure_cases.csv","True"
"runs/20260214_141637/run.log","True"
"runs/stage2/验收报告.md","True"
"runs/stage2/codex总结.md","True"
"runs/stage2/关键输出/rule_based_metrics.csv","True"
"runs/stage2/关键输出/rule_based_samples.csv","True"
"runs/stage2/关键输出/failure_cases.csv","True"
"runs/stage2/关键输出/llm_io.jsonl","True"
"runs/stage2/关键输出/pytest输出.txt","True"
"runs/stage2/关键输出/stage2控制台输出.txt","True"
"runs/stage2/关键输出/关键文件清单.csv","True"
