repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
3,cycle,Cycle,1,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,2,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,3,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,4,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,6,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,8,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,9,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,10,"(20, [((0,1), (1,2), (2,3), ..., (19,0)), ((1,2), (2,3), (3,4), ..., (18,19)), ...])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,11,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,15,"(20, [(0,1), (1,2), (2,3), ..., (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,17,"(20, [(0,1), (1,2), ..., (19,0)])",False,False,,isomorphism,"第 3 条边不是二元组 `(u,v)`。"
