repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
3,cycle,Cycle,1,"(15, [((0,1), (1,2), (2,3), ..., (14,15)), ((1,2), (2,3), (3,4), ..., (13,14)), ...])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,2,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,3,"(15, [((0,1), (1,2), (2,3), ..., (14,15)), ((1,2), (2,3), (3,4), ..., (13,14)), ...])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,4,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,5,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,14),(14,0)])",True,False,,isomorphism,
3,cycle,Cycle,6,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,7,"(15, [((0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,8,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,9,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,10,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,11,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,12,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,13,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,14,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,15,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,16,"(15, [((0,1), (1,2)), ((1,2), (2,3)), ((2,3), (3,4)), ((3,4), (4,5)), ((4,5), (5,6)), ((5,6), (6,7)), ((6,7), (7,8)), ((7,8), (8,9)), ((8,9), (9,10)), ((9,10), (10,11)), ((10,11), (11,12)), ((11,12), ",False,False,,isomorphism,第 1 条边包含非整数端点。
3,cycle,Cycle,17,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,18,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,19,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,20,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,21,"(15, [((0,1), (1,2), (2,3), ..., (14,15), (15,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,22,"(15, [((0,1), (1,2), (2,3), ..., (14,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,23,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,24,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,25,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 14), (14, 0)])",True,False,,isomorphism,
3,cycle,Cycle,26,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,27,"(15, [(0,1), (1,2), ..., (14,0)])",False,False,,isomorphism,"第 3 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,28,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,29,"(15, [(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14)])",True,False,,isomorphism,
3,cycle,Cycle,30,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,31,"(15, [(0, 1), (1, 2), ..., (14, 0)])",False,False,,isomorphism,"第 3 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,32,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,33,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,34,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,35,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,36,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 0)])",True,False,,isomorphism,
3,cycle,Cycle,37,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,38,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,39,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,40,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,41,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,42,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,43,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,44,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,45,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,46,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,47,"(15, [(0, 1), (1, 2), (2, 3), ..., (14, 0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,48,"(15, [((0,1), (1,2)), ((1,2), (2,3)), ..., ((14,0), (0,14))])",False,False,,isomorphism,第 1 条边包含非整数端点。
3,cycle,Cycle,49,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,50,"(15, [((0,1), (1,2), (2,3), ..., (14,15)), ((1,2), (2,3), (3,4), ..., (14,15))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,51,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,52,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,53,"(15, [((0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)), ((14, 0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,54,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,55,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,56,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,57,"(15, [(0,1), (1,2), ..., (14,0)])",False,False,,isomorphism,"第 3 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,58,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,59,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,60,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,61,"(15, [(0,1), (1,2), (2,3), ..., (13,14), (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,62,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,63,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,64,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,65,"(15, [(0,1), (1,2), ..., (14,15)])",False,False,,isomorphism,"第 3 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,66,"(15, [(0, 1), (0, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9), (4, 10), (5, 11), (5, 12), (6, 13), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 0)])",True,False,,isomorphism,
3,cycle,Cycle,67,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,68,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,69,"(15, [((0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,70,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,71,"(15, [
    (0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 14), (14, 0)
])",True,False,,isomorphism,
3,cycle,Cycle,72,"(15, [
    (0, 1), (0, 14), (1, 2), (1, 13), (2, 3), (2, 12), (3, 4), (3, 11),
    (4, 5), (4, 10), (5, 6), (5, 9), (6, 7), (6, 8), (7, 8), (7, 14),
    (8, 9), (8, 15), (9, 10), (9, 11), (10, 11), (1",False,False,,isomorphism,第 18 条边端点越界（节点范围应为 0..14）。
3,cycle,Cycle,73,"(15, [(0,1), (1,2), (2,3), ..., (13,14), (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,74,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,75,"(15, [(0,1), (1,2), (2,3), ..., (14,15), (15,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,76,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,77,"(15, [((0,1), (1,2), (2,3), ..., (14,15)), ((1,2), (2,3), (3,4), ..., (13,14)), ...])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,78,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,14),(14,0)])",True,False,,isomorphism,
3,cycle,Cycle,79,"(15, [(0,1), (1,2), (2,3), ..., (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,80,"(15, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
3,cycle,Cycle,81,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0)])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,82,"(15, [
    (0, 1),
    (1, 2),
    (2, 3),
    (3, 4),
    (4, 5),
    (5, 6),
    (6, 7),
    (7, 8),
    (8, 9),
    (9, 10),
    (10, 11),
    (11, 12),
    (12, 13),
    (13, 14),
    (14, 0)
])",True,True,5fea9a0ebeb8cf04b89b6efb8eab545e,isomorphism,
3,cycle,Cycle,83,"(15, [((0,1), (1,2), (2,3), ..., (14,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
