repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
1,cycle,Cycle,1,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,4,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,7,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,8,"(20, [('0', '1'), ('0', '2'), ('0', '3'), ('0', '4'), ('1', '2'), ('1', '3'), ('1', '4'), ('2', '3'), ('2', '4'), ('3', '4')])",True,False,,isomorphism,
1,cycle,Cycle,9,"(20, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7)), ((8,9), (9,10), (10,11)), ((12,13), (13,14), (14,15)), ((16,17), (17,18), (18,19)), ((0,4), (4,16))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,11,"(20, [('0', '1'), ('0', '2'), ('0', '3'), ('0', '4'), ('1', '5'), ('1', '6'), ('1', '7'), ('2', '8'), ('2', '9'), ('2', '10'), ('3', '11'), ('3', '12'), ('3', '13'), ('4', '14'), ('4', '15'), ('4', '1",True,False,,isomorphism,
1,cycle,Cycle,13,"(20, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7)), ((8,9), (9,10), (10,11)), ((12,13), (13,14), (14,15)), ((16,17), (17,18), (18,19)), ((0,4), (4,16))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,14,"(20, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7)), ((8,9), (9,10), (10,11)), ((12,13), (13,14), (14,15)), ((16,17), (17,18), (18,19)), ((0,4), (4,16))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,16,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,19,"(20, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '2'), ('1', '3'), ('2', '3'), ('2', '4'), ('3', '4'), ('3', '5'), ('4', '5'), ('4', '6'), ('5', '6'), ('5', '7'), ('6', '7'), ('6', '8'), ('7', '8'), ('",True,False,,isomorphism,
1,cycle,Cycle,22,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,23,"(20, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('1', '6'), ('2', '7'), ('2', '8'), ('2', '9'), ('3', '10'), ('3', '11'), ('3', '12'), ('4', '13'), ('4', '14'), ('4', '15'), ('5', '1",True,False,,isomorphism,
1,cycle,Cycle,24,"(20, [('0', '1'), ('0', '2'), ('0', '3'), ('0', '4'), ('1', '5'), ('1', '6'), ('1', '7'), ('2', '8'), ('2', '9'), ('3', '10'), ('3', '11'), ('4', '12'), ('4', '13'), ('5', '14'), ('5', '15'), ('6', '1",True,False,,isomorphism,
1,cycle,Cycle,26,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,28,"(20, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,15), (15,16), (16,17), (17,18), (18,19), (19,0)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
