repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
1,tree,Tree,32,"(8, [(0,1), (0,2), (0,3), (1,4), (2,4), (2,6), (3,6), (4,7)])",True,False,,isomorphism,
1,tree,Tree,33,"(8, [(0,1), (0,2), (0,3), (1,4), (2,4), (2,5), (3,6), (3,7)])",True,False,,isomorphism,
1,tree,Tree,38,"(8, [(0,1), (0,2), (0,3), (1,4), (1,5), (2,6), (2,7), (3,7)])",True,False,,isomorphism,
1,tree,Tree,47,"(8, [(0,1), (0,2), (1,3), (1,4), (2,5), (2,6), (3,7), (4,7)])",True,False,,isomorphism,
1,tree,Tree,61,"(8, [(0,1), (0,2), (0,3), (1,4), (1,5), (2,6), (2,7), (3,7)])",True,False,,isomorphism,
1,tree,Tree,64,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,67,"(8, [(0,1), (0,2), (0,3), (1,4), (2,4), (2,6), (3,6), (4,7)])",True,False,,isomorphism,
1,tree,Tree,71,"(8, [(0,1), (0,2), (0,3), (1,4), (1,5), (2,6), (2,7), (3,7)])",True,False,,isomorphism,
1,tree,Tree,83,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6""), (""4"", ""5""), (""4"", ""7""), (""5"", ""6""), (""5"", ""7""), (""6"", ""7"")])",True,False,,isomorphism,
1,tree,Tree,96,"(8, [(0,1), (0,2), (0,3), (1,4), (2,4), (2,5), (3,6), (3,7)])",True,False,,isomorphism,
1,tree,Tree,97,"(8, [(0,1), (0,2), (0,3), (1,4), (2,5), (2,6), (3,7), (3,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,cycle,Cycle,1,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,2,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,3,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,5,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '2'), ('1', '3'), ('2', '3'), ('2', '4'), ('3', '4'), ('3', '5'), ('4', '5')])",True,False,,isomorphism,
1,cycle,Cycle,8,"(10, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,9,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '2'), ('1', '3'), ('2', '3'), ('2', '4'), ('3', '4'), ('3', '5')])",True,False,,isomorphism,
1,cycle,Cycle,10,"(10, [('0', '1'), ('0', '2'), ('1', '3'), ('1', '4'), ('2', '5'), ('2', '6'), ('3', '7'), ('3', '8'), ('4', '9')])",True,False,,isomorphism,
1,cycle,Cycle,11,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,15,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,19,"(10, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,20,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,22,"(10, [('0', '1'), ('0', '2'), ('1', '3'), ('1', '4'), ('2', '5'), ('2', '6'), ('3', '7'), ('3', '8'), ('4', '9')])",True,False,,isomorphism,
1,cycle,Cycle,23,"(10, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,24,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '2'), ('1', '3'), ('2', '3'), ('2', '4'), ('3', '4'), ('3', '5'), ('4', '5')])",True,False,,isomorphism,
1,cycle,Cycle,27,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,30,"(10, [('0', '1'), ('0', '2'), ('1', '3'), ('1', '4'), ('2', '5'), ('2', '6'), ('3', '7'), ('3', '8'), ('4', '9')])",True,False,,isomorphism,
1,cycle,Cycle,35,"(10, [('0', '1'), ('0', '2'), ('1', '3'), ('1', '4'), ('2', '5'), ('2', '6'), ('3', '7'), ('3', '8'), ('4', '9')])",True,False,,isomorphism,
1,cycle,Cycle,40,"(10, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0))]])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,cycle,Cycle,43,"(10, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,44,"(10, [((0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,47,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,50,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,55,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,59,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,62,"(10, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '6'), ('2', '7'), ('3', '8'), ('3', '9')])",True,False,,isomorphism,
1,cycle,Cycle,63,"(10, [('0', '1'), ('0', '2'), ('1', '3'), ('1', '4'), ('2', '5'), ('2', '6'), ('3', '7'), ('3', '8'), ('4', '9')])",True,False,,isomorphism,
1,cycle,Cycle,64,"(10, [('0', '1'), ('0', '2'), ('1', '3'), ('1', '4'), ('2', '5'), ('2', '6'), ('3', '7'), ('3', '8'), ('4', '9')])",True,False,,isomorphism,
