repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
3,cycle,Cycle,90,"LLM_ERROR: OpenAI 请求失败（HTTP 500）：{
  ""error"": {
    ""message"": ""The server had an error while processing your request. Sorry about that!"",
    ""type"": ""server_error"",
    ""param"": null,
    ""code"": nu",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '（' (U+FF08) (<unknown>, line 1)"
3,planar,Planar,1,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,0),(1,12),(12,3),(2,13),(13,4),(5,14),(14,7),(8,0),(9,1),(10,2),(11,14),(12,6),(13,5)])",True,False,,isomorphism,
3,planar,Planar,2,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,8), (3,10), (5,11), (6,13), (1,9), (2,7), (4,12), (2,6), (9,13)])",True,False,,isomorphism,
3,planar,Planar,3,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0),(0,7),(1,8),(2,9),(3,10),(4,11),(5,12),(6,13),(7,14),(8,0)])",True,False,,isomorphism,
3,planar,Planar,4,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,7), (1,8), (2,9), (3,10), (4,11), (5,12), (6,13), (7,14), (8,0)])",True,False,,isomorphism,
3,planar,Planar,6,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (5,6), (6,7), (7,8), (8,5), (9,10), (10,11), (11,9), (0,5), (5,9), (1,6), (6,10), (2,7), (7,11), (3,8), (8,0), (4,1), (4,9), (2,5), (3,10)])",True,False,,isomorphism,
3,planar,Planar,7,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,7), (1,8), (2,9), (3,10), (4,11), (5,12), (6,13), (7,14), (1,6)])",True,False,,isomorphism,
3,planar,Planar,8,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0),(0,7),(1,8),(2,9),(3,10),(4,11),(5,12),(6,13),(7,14),(8,0)])",True,False,,isomorphism,
3,planar,Planar,9,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,7), (1,8), (2,9), (3,10), (4,11), (5,12), (6,13), (7,14), (8,0)])",True,False,,isomorphism,
3,planar,Planar,10,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(7,8),(8,1),(1,9),(9,10),(10,2),(2,11),(11,12),(12,3),(3,13),(13,14),(14,4),(4,0),(7,13),(8,11),(9,14),(5,10)])",True,False,,isomorphism,
