repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
3,tree,Tree,87,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,cycle,Cycle,1,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,cycle,Cycle,3,"Reasoning:
1. We start by creating a path that visits all 15 nodes once. This can be done by creating an edge between each consecutive pair of nodes, i.e., an edge from node 0 to node 1, an edge from ",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,cycle,Cycle,10,"(15, [(0,1), (1,2), (2,3), ..., (13,14), (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
3,cycle,Cycle,32,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,cycle,Cycle,33,LLM_ERROR: Remote end closed connection without response,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,cycle,Cycle,34,"Reasoning:

In a cycle graph, each node has a degree of 2 (it is connected to exactly two other nodes). To create a cycle graph with 15 nodes, we will first create a path visiting all 15 nodes. This c",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,cycle,Cycle,93,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,planar,Planar,1,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (5,1), (1,6), (6,2), (2,7), (7,3), (3,8), (8,4), (4,9), (9,0), (5,10), (10,6), (6,11), (11,7), (7,12), (12,8), (8,13), (13,9), (9,14), (14,5)])",True,False,,isomorphism,
3,planar,Planar,2,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (1,3), (3,5), (5,1), (4,6), (6,0), (6,2), (7,0), (7,2), (7,4), (8,1), (8,3), (8,5), (8,9), (9,10), (10,11), (11,8), (9,12), (12,10), (12,13), (13,11), (13,14),",True,False,,isomorphism,
3,planar,Planar,3,"Reasoning:

We start with 15 nodes, labeled 0 to 14. We start by drawing a cycle of length 15. This ensures that our graph is connected and it also prevents the creation of K5 and K3,3 subgraph struct",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
3,planar,Planar,4,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,5), (5,10), (10,0), (1,6), (6,11), (11,1), (2,7), (7,12), (12,2)])",True,False,,isomorphism,
3,planar,Planar,8,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14),(14,0),(0,5),(5,10),(10,0),(1,6),(6,11),(11,1),(2,7),(7,12),(12,2)])",True,False,,isomorphism,
3,planar,Planar,9,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9,10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 0), (0, 7), (1, 8), (2, 9), (3, 10), (4, 11), (5, 12), (6, 13), (7, 1",True,False,,isomorphism,
3,planar,Planar,10,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (3,6), (6,9), (9,12), (12,0), (0,4), (4,8), (8,12), (12,0)])",True,False,,isomorphism,
