repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,signature,parse_failure_reason
1,tree,Tree,1,"(15, [(1,7),(3,9),(4,9),(10,14),(9,11),(6,9),(0,12),(0,2),(2,6),(6,7),(5,13),(5,8),(7,8),(7,14)])",True,True,"15|0-2,0-12,1-7,2-6,3-9,4-9,5-8,5-13,6-7,6-9,7-8,7-14,9-11,10-14",
1,tree,Tree,2,"(15, [(1,8),(2,5),(0,3),(0,5),(4,6),(0,4),(0,14),(8,9),(10,11),(7,11),(12,13),(9,12),(7,9),(7,14)])",True,True,"15|0-3,0-4,0-5,0-14,1-8,2-5,4-6,7-9,7-11,7-14,8-9,9-12,10-11,12-13",
1,tree,Tree,3,"(15, [(5,8),(2,7),(8,10),(1,9),(0,1),(10,14),(0,11),(0,12),(3,12),(3,14),(2,13),(2,6),(4,6),(4,14)])",True,True,"15|0-1,0-11,0-12,1-9,2-6,2-7,2-13,3-12,3-14,4-6,4-14,5-8,8-10,10-14",
1,tree,Tree,4,"(15, [(1,13),(0,3),(4,6),(2,6),(2,10),(0,7),(8,13),(9,10),(10,12),(5,11),(5,12),(12,13),(0,13),(0,14)])",True,True,"15|0-3,0-7,0-13,0-14,1-13,2-6,2-10,4-6,5-11,5-12,8-13,9-10,10-12,12-13",
1,tree,Tree,5,"(15, [(0,1),(0,7),(4,12),(5,7),(8,9),(7,10),(3,7),(3,6),(2,6),(2,13),(8,11),(8,13),(12,13),(12,14)])",True,True,"15|0-1,0-7,2-6,2-13,3-6,3-7,4-12,5-7,7-10,8-9,8-11,8-13,12-13,12-14",
1,tree,Tree,6,"(15, [(0,12),(2,4),(3,5),(7,11),(2,8),(2,13),(1,9),(1,3),(6,13),(3,6),(3,11),(10,11),(10,12),(12,14)])",True,True,"15|0-12,1-3,1-9,2-4,2-8,2-13,3-5,3-6,3-11,6-13,7-11,10-11,10-12,12-14",
1,tree,Tree,7,"(15, [(0,7),(2,7),(3,4),(5,6),(1,6),(1,12),(3,8),(7,11),(7,12),(7,10),(10,14),(9,13),(3,9),(3,14)])",True,True,"15|0-7,1-6,1-12,2-7,3-4,3-8,3-9,3-14,5-6,7-10,7-11,7-12,9-13,10-14",
1,tree,Tree,8,"(15, [(3,13),(5,6),(1,6),(1,4),(7,12),(2,10),(2,11),(12,14),(11,13),(0,11),(0,9),(8,9),(4,8),(4,14)])",True,True,"15|0-9,0-11,1-4,1-6,2-10,2-11,3-13,4-8,4-14,5-6,7-12,8-9,11-13,12-14",
1,tree,Tree,9,"(15, [(5,6),(3,5),(1,10),(1,12),(4,11),(4,7),(7,13),(2,12),(0,2),(0,3),(9,13),(3,9),(3,8),(8,14)])",True,True,"15|0-2,0-3,1-10,1-12,2-12,3-5,3-8,3-9,4-7,4-11,5-6,7-13,8-14,9-13",
1,tree,Tree,10,"(15, [(2,14),(5,6),(4,8),(3,4),(7,10),(1,7),(1,14),(0,11),(0,3),(3,6),(6,14),(9,12),(9,14),(13,14)])",True,True,"15|0-3,0-11,1-7,1-14,2-14,3-4,3-6,4-8,5-6,6-14,7-10,9-12,9-14,13-14",
1,tree,Tree,11,"(15, [(1,11),(3,11),(4,7),(6,13),(8,9),(9,11),(2,9),(2,5),(5,7),(7,13),(10,13),(0,10),(0,12),(12,14)])",True,True,"15|0-10,0-12,1-11,2-5,2-9,3-11,4-7,5-7,6-13,7-13,8-9,9-11,10-13,12-14",
1,tree,Tree,12,"(15, [(1,12),(6,11),(7,12),(8,10),(3,9),(2,3),(10,13),(0,11),(0,5),(2,5),(2,4),(4,12),(4,13),(13,14)])",True,True,"15|0-5,0-11,1-12,2-3,2-4,2-5,3-9,4-12,4-13,6-11,7-12,8-10,10-13,13-14",
1,tree,Tree,13,"(15, [(0,4),(1,3),(4,9),(5,6),(3,7),(3,12),(8,13),(9,13),(2,10),(2,14),(5,11),(5,13),(5,12),(12,14)])",True,True,"15|0-4,1-3,2-10,2-14,3-7,3-12,4-9,5-6,5-11,5-12,5-13,8-13,9-13,12-14",
1,tree,Tree,14,"(15, [(1,8),(0,6),(0,7),(7,8),(3,8),(3,10),(2,10),(2,13),(5,12),(5,9),(4,9),(4,11),(11,13),(11,14)])",True,True,"15|0-6,0-7,1-8,2-10,2-13,3-8,3-10,4-9,4-11,5-9,5-12,7-8,11-13,11-14",
1,tree,Tree,15,"(15, [(1,13),(2,14),(4,9),(5,14),(3,6),(3,9),(7,14),(8,9),(0,9),(10,14),(0,11),(0,12),(0,13),(0,14)])",True,True,"15|0-9,0-11,0-12,0-13,0-14,1-13,2-14,3-6,3-9,4-9,5-14,7-14,8-9,10-14",
1,tree,Tree,16,"(15, [(1,13),(2,12),(5,6),(5,12),(7,12),(0,8),(10,11),(9,10),(0,9),(0,14),(12,13),(4,12),(3,4),(3,14)])",True,True,"15|0-8,0-9,0-14,1-13,2-12,3-4,3-14,4-12,5-6,5-12,7-12,9-10,10-11,12-13",
1,tree,Tree,17,"(15, [(3,11),(4,6),(2,9),(0,2),(0,5),(1,5),(11,12),(10,11),(7,10),(7,13),(7,8),(1,8),(1,4),(4,14)])",True,True,"15|0-2,0-5,1-4,1-5,1-8,2-9,3-11,4-6,4-14,7-8,7-10,7-13,10-11,11-12",
1,tree,Tree,18,"(15, [(0,13),(1,6),(2,6),(2,5),(5,7),(5,10),(11,12),(8,13),(3,8),(3,4),(4,5),(5,9),(9,11),(11,14)])",True,True,"15|0-13,1-6,2-5,2-6,3-4,3-8,4-5,5-7,5-9,5-10,8-13,9-11,11-12,11-14",
1,tree,Tree,19,"(15, [(0,8),(2,5),(1,6),(1,7),(1,2),(2,8),(11,12),(10,11),(3,10),(3,8),(4,8),(4,13),(9,13),(9,14)])",True,True,"15|0-8,1-2,1-6,1-7,2-5,2-8,3-8,3-10,4-8,4-13,9-13,9-14,10-11,11-12",
1,tree,Tree,20,bad-output,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001B1F7507610>"
1,cycle,Cycle,1,"(15, [(0,6),(0,12),(1,10),(1,11),(2,7),(2,14),(3,5),(3,7),(4,8),(4,9),(5,6),(8,11),(9,13),(10,14),(12,13)])",True,True,"15|0-6,0-12,1-10,1-11,2-7,2-14,3-5,3-7,4-8,4-9,5-6,8-11,9-13,10-14,12-13",
1,cycle,Cycle,2,"(15, [(0,7),(0,9),(1,2),(1,10),(2,13),(3,10),(3,14),(4,8),(4,12),(5,11),(5,12),(6,9),(6,11),(7,14),(8,13)])",True,True,"15|0-7,0-9,1-2,1-10,2-13,3-10,3-14,4-8,4-12,5-11,5-12,6-9,6-11,7-14,8-13",
1,cycle,Cycle,3,"(15, [(0,3),(0,12),(1,2),(1,6),(2,11),(3,7),(4,7),(4,9),(5,8),(5,14),(6,10),(8,9),(10,14),(11,13),(12,13)])",True,True,"15|0-3,0-12,1-2,1-6,2-11,3-7,4-7,4-9,5-8,5-14,6-10,8-9,10-14,11-13,12-13",
1,cycle,Cycle,4,"(15, [(0,2),(0,6),(1,9),(1,13),(2,5),(3,7),(3,8),(4,10),(4,11),(5,14),(6,13),(7,10),(8,12),(9,11),(12,14)])",True,True,"15|0-2,0-6,1-9,1-13,2-5,3-7,3-8,4-10,4-11,5-14,6-13,7-10,8-12,9-11,12-14",
1,cycle,Cycle,5,"(15, [(0,2),(0,3),(1,11),(1,12),(2,13),(3,12),(4,6),(4,14),(5,6),(5,9),(7,8),(7,9),(8,10),(10,11),(13,14)])",True,True,"15|0-2,0-3,1-11,1-12,2-13,3-12,4-6,4-14,5-6,5-9,7-8,7-9,8-10,10-11,13-14",
1,cycle,Cycle,6,"(15, [(0,4),(0,7),(1,10),(1,12),(2,8),(2,14),(3,9),(3,11),(4,14),(5,7),(5,10),(6,11),(6,12),(8,13),(9,13)])",True,True,"15|0-4,0-7,1-10,1-12,2-8,2-14,3-9,3-11,4-14,5-7,5-10,6-11,6-12,8-13,9-13",
1,cycle,Cycle,7,"(15, [(0,3),(0,11),(1,12),(1,13),(2,3),(2,10),(4,10),(4,13),(5,11),(5,14),(6,7),(6,14),(7,8),(8,9),(9,12)])",True,True,"15|0-3,0-11,1-12,1-13,2-3,2-10,4-10,4-13,5-11,5-14,6-7,6-14,7-8,8-9,9-12",
1,cycle,Cycle,8,"(15, [(0,1),(0,2),(1,8),(2,13),(3,9),(3,11),(4,7),(4,9),(5,6),(5,12),(6,14),(7,10),(8,11),(10,14),(12,13)])",True,True,"15|0-1,0-2,1-8,2-13,3-9,3-11,4-7,4-9,5-6,5-12,6-14,7-10,8-11,10-14,12-13",
1,cycle,Cycle,9,"(15, [(0,4),(0,8),(1,4),(1,10),(2,3),(2,13),(3,9),(5,7),(5,12),(6,8),(6,11),(7,14),(9,10),(11,14),(12,13)])",True,True,"15|0-4,0-8,1-4,1-10,2-3,2-13,3-9,5-7,5-12,6-8,6-11,7-14,9-10,11-14,12-13",
1,cycle,Cycle,10,"(15, [(0,3),(0,4),(1,6),(1,8),(2,7),(2,9),(3,12),(4,7),(5,11),(5,12),(6,10),(8,13),(9,13),(10,14),(11,14)])",True,True,"15|0-3,0-4,1-6,1-8,2-7,2-9,3-12,4-7,5-11,5-12,6-10,8-13,9-13,10-14,11-14",
1,cycle,Cycle,11,"(15, [(0,2),(0,8),(1,3),(1,8),(2,4),(3,12),(4,13),(5,6),(5,7),(6,12),(7,10),(9,13),(9,14),(10,11),(11,14)])",True,True,"15|0-2,0-8,1-3,1-8,2-4,3-12,4-13,5-6,5-7,6-12,7-10,9-13,9-14,10-11,11-14",
1,cycle,Cycle,12,"(15, [(0,3),(0,8),(1,4),(1,10),(2,8),(2,9),(3,7),(4,7),(5,6),(5,12),(6,14),(9,11),(10,12),(11,13),(13,14)])",True,True,"15|0-3,0-8,1-4,1-10,2-8,2-9,3-7,4-7,5-6,5-12,6-14,9-11,10-12,11-13,13-14",
1,cycle,Cycle,13,"(15, [(0,11),(0,14),(1,5),(1,13),(2,6),(2,14),(3,6),(3,9),(4,5),(4,10),(7,11),(7,12),(8,9),(8,13),(10,12)])",True,True,"15|0-11,0-14,1-5,1-13,2-6,2-14,3-6,3-9,4-5,4-10,7-11,7-12,8-9,8-13,10-12",
1,cycle,Cycle,14,"(15, [(0,6),(0,11),(1,8),(1,10),(2,4),(2,7),(3,13),(3,14),(4,9),(5,7),(5,12),(6,14),(8,9),(10,11),(12,13)])",True,True,"15|0-6,0-11,1-8,1-10,2-4,2-7,3-13,3-14,4-9,5-7,5-12,6-14,8-9,10-11,12-13",
1,cycle,Cycle,15,"(15, [(0,5),(0,12),(1,3),(1,10),(2,4),(2,8),(3,8),(4,11),(5,13),(6,7),(6,9),(7,14),(9,12),(10,14),(11,13)])",True,True,"15|0-5,0-12,1-3,1-10,2-4,2-8,3-8,4-11,5-13,6-7,6-9,7-14,9-12,10-14,11-13",
1,cycle,Cycle,16,"(15, [(0,8),(0,13),(1,12),(1,13),(2,9),(2,10),(3,7),(3,9),(4,6),(4,10),(5,12),(5,14),(6,8),(7,11),(11,14)])",True,True,"15|0-8,0-13,1-12,1-13,2-9,2-10,3-7,3-9,4-6,4-10,5-12,5-14,6-8,7-11,11-14",
1,cycle,Cycle,17,"(15, [(0,2),(0,11),(1,5),(1,13),(2,10),(3,7),(3,9),(4,6),(4,14),(5,6),(7,13),(8,9),(8,11),(10,12),(12,14)])",True,True,"15|0-2,0-11,1-5,1-13,2-10,3-7,3-9,4-6,4-14,5-6,7-13,8-9,8-11,10-12,12-14",
1,cycle,Cycle,18,"(15, [(0,6),(0,14),(1,9),(1,14),(2,4),(2,13),(3,4),(3,10),(5,7),(5,11),(6,8),(7,8),(9,12),(10,11),(12,13)])",True,True,"15|0-6,0-14,1-9,1-14,2-4,2-13,3-4,3-10,5-7,5-11,6-8,7-8,9-12,10-11,12-13",
1,cycle,Cycle,19,"(15, [(0,7),(0,8),(1,11),(1,14),(2,5),(2,9),(3,10),(3,11),(4,6),(4,13),(5,12),(6,9),(7,13),(8,10),(12,14)])",True,True,"15|0-7,0-8,1-11,1-14,2-5,2-9,3-10,3-11,4-6,4-13,5-12,6-9,7-13,8-10,12-14",
1,cycle,Cycle,20,bad-output,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001B1F7523B50>"
1,planar,Planar,1,"(15, [(0,1),(0,10),(1,2),(1,11),(2,3),(2,13),(3,4),(3,11),(3,13),(3,14),(4,5),(5,6),(5,9),(6,7),(7,8),(7,14),(8,9),(8,11),(9,10),(10,11),(11,12),(12,13),(12,14),(13,14)])",True,False,,
1,planar,Planar,2,"(15, [(0,1),(0,4),(1,2),(1,14),(2,3),(2,7),(2,14),(3,4),(3,9),(4,5),(4,10),(4,12),(5,6),(5,12),(6,7),(7,8),(8,9),(8,10),(9,10),(10,11),(11,12),(11,14),(12,13),(13,14)])",True,False,,
1,planar,Planar,3,"(15, [(0,1),(0,2),(0,6),(1,2),(1,7),(2,3),(3,4),(4,5),(4,9),(4,13),(5,6),(5,10),(6,7),(6,10),(6,14),(7,8),(8,9),(9,10),(9,11),(10,11),(10,14),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,4,"(15, [(0,1),(0,4),(0,11),(1,2),(2,3),(2,9),(3,4),(3,7),(4,5),(5,6),(5,11),(6,7),(6,10),(6,13),(7,8),(8,9),(8,11),(9,10),(10,11),(10,12),(10,14),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,5,"(15, [(0,1),(0,5),(0,10),(0,11),(1,2),(1,4),(1,7),(1,12),(2,3),(3,4),(3,11),(4,5),(4,14),(5,6),(5,11),(6,7),(6,11),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,6,"(15, [(0,1),(0,6),(0,10),(1,2),(1,12),(2,3),(2,6),(2,7),(2,10),(3,4),(3,5),(4,5),(5,6),(5,11),(6,7),(7,8),(8,9),(8,11),(9,10),(10,11),(11,12),(11,14),(12,13),(13,14)])",True,False,,
1,planar,Planar,7,"(15, [(0,1),(0,7),(0,12),(0,14),(1,2),(2,3),(3,4),(4,5),(4,10),(5,6),(5,10),(5,14),(6,7),(6,10),(7,8),(7,9),(7,14),(8,9),(9,10),(10,11),(11,12),(11,14),(12,13),(13,14)])",True,False,,
1,planar,Planar,8,"(15, [(0,1),(0,7),(0,8),(0,10),(0,14),(1,2),(1,8),(2,3),(2,9),(3,4),(3,12),(4,5),(4,6),(4,13),(5,6),(5,14),(6,7),(7,8),(8,9),(9,10),(10,11),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,9,"(15, [(0,1),(1,2),(1,5),(1,11),(2,3),(2,12),(3,4),(4,5),(5,6),(6,7),(6,14),(7,8),(7,9),(7,14),(8,9),(8,10),(8,14),(9,10),(10,11),(10,14),(11,12),(11,14),(12,13),(13,14)])",True,True,"15|0-1,1-2,1-5,1-11,2-3,2-12,3-4,4-5,5-6,6-7,6-14,7-8,7-9,7-14,8-9,8-10,8-14,9-10,10-11,10-14,11-12,11-14,12-13,13-14",
1,planar,Planar,10,"(15, [(0,1),(1,2),(2,3),(2,10),(3,4),(3,6),(3,11),(4,5),(4,7),(5,6),(5,9),(5,14),(6,7),(7,8),(7,10),(8,9),(8,10),(8,12),(9,10),(10,11),(11,12),(12,13),(12,14),(13,14)])",True,False,,
1,planar,Planar,11,"(15, [(0,1),(0,10),(1,2),(1,9),(1,12),(2,3),(2,6),(3,4),(3,5),(3,13),(4,5),(5,6),(5,10),(5,13),(6,7),(7,8),(8,9),(8,11),(8,13),(9,10),(10,11),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,12,"(15, [(0,1),(0,9),(1,2),(2,3),(3,4),(3,6),(3,10),(3,14),(4,5),(4,8),(4,12),(5,6),(6,7),(7,8),(7,14),(8,9),(8,13),(8,14),(9,10),(9,14),(10,11),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,13,"(15, [(0,1),(0,3),(0,8),(1,2),(1,14),(2,3),(2,6),(2,11),(3,4),(4,5),(4,7),(4,8),(4,9),(5,6),(6,7),(7,8),(8,9),(9,10),(9,12),(10,11),(11,12),(12,13),(12,14),(13,14)])",True,False,,
1,planar,Planar,14,"(15, [(0,1),(0,6),(0,9),(0,13),(1,2),(1,9),(2,3),(2,4),(3,4),(3,13),(4,5),(4,7),(5,6),(5,14),(6,7),(7,8),(8,9),(8,14),(9,10),(9,14),(10,11),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,15,"(15, [(0,1),(0,4),(1,2),(2,3),(2,14),(3,4),(4,5),(4,9),(5,6),(6,7),(6,10),(7,8),(7,10),(7,11),(7,13),(8,9),(9,10),(9,12),(10,11),(10,13),(11,12),(11,14),(12,13),(13,14)])",True,False,,
1,planar,Planar,16,"(15, [(0,1),(0,9),(1,2),(1,5),(2,3),(3,4),(3,8),(4,5),(4,8),(4,9),(4,13),(5,6),(5,8),(6,7),(7,8),(8,9),(8,12),(8,13),(9,10),(9,13),(10,11),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,17,"(15, [(0,1),(0,2),(0,9),(1,2),(1,3),(2,3),(2,14),(3,4),(3,8),(3,11),(4,5),(5,6),(5,9),(6,7),(7,8),(8,9),(9,10),(9,11),(10,11),(10,12),(11,12),(11,13),(12,13),(13,14)])",True,True,"15|0-1,0-2,0-9,1-2,1-3,2-3,2-14,3-4,3-8,3-11,4-5,5-6,5-9,6-7,7-8,8-9,9-10,9-11,10-11,10-12,11-12,11-13,12-13,13-14",
1,planar,Planar,18,"(15, [(0,1),(0,3),(0,5),(1,2),(1,3),(1,12),(2,3),(2,5),(3,4),(3,8),(3,14),(4,5),(4,11),(5,6),(5,10),(6,7),(7,8),(8,9),(9,10),(10,11),(10,12),(11,12),(12,13),(13,14)])",True,False,,
1,planar,Planar,19,"(15, [(0,1),(0,11),(0,13),(1,2),(2,3),(3,4),(3,6),(3,13),(4,5),(4,8),(5,6),(5,10),(6,7),(7,8),(8,9),(8,14),(9,10),(9,14),(10,11),(10,14),(11,12),(11,14),(12,13),(13,14)])",True,False,,
1,planar,Planar,20,bad-output,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001B1F7567B50>"
1,components,#Components,1,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,2,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,3,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,4,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,5,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,6,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,7,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,8,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,9,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,10,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,11,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,12,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,13,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,14,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,15,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,16,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,17,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,18,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,19,"(15, [(0,1),(1,2),(3,4),(4,5),(6,7),(7,8),(9,10),(10,11),(12,13),(13,14)])",True,True,"15|0-1,1-2,3-4,4-5,6-7,7-8,9-10,10-11,12-13,13-14",
1,components,#Components,20,bad-output,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001B1F7549390>"
1,k_regular,k-regular,1,"(16, [(0,5),(0,11),(1,11),(1,14),(2,3),(2,12),(3,6),(4,6),(4,14),(5,9),(7,9),(7,13),(8,10),(8,15),(10,13),(12,15)])",True,False,,
1,k_regular,k-regular,2,"(16, [(0,9),(0,12),(1,5),(1,11),(2,4),(2,8),(3,6),(3,15),(4,5),(6,12),(7,9),(7,14),(8,13),(10,11),(10,15),(13,14)])",True,False,,
1,k_regular,k-regular,3,"(16, [(0,1),(0,8),(1,13),(2,6),(2,14),(3,7),(3,15),(4,6),(4,15),(5,9),(5,14),(7,13),(8,11),(9,12),(10,11),(10,12)])",True,False,,
1,k_regular,k-regular,4,"(16, [(0,3),(0,4),(1,7),(1,15),(2,11),(2,14),(3,9),(4,13),(5,6),(5,12),(6,13),(7,10),(8,14),(8,15),(9,11),(10,12)])",True,False,,
1,k_regular,k-regular,5,"(16, [(0,10),(0,11),(1,4),(1,10),(2,4),(2,7),(3,9),(3,12),(5,8),(5,15),(6,13),(6,15),(7,8),(9,14),(11,12),(13,14)])",True,False,,
1,k_regular,k-regular,6,"(16, [(0,1),(0,9),(1,14),(2,13),(2,15),(3,4),(3,12),(4,6),(5,13),(5,14),(6,10),(7,11),(7,12),(8,11),(8,15),(9,10)])",True,False,,
1,k_regular,k-regular,7,"(16, [(0,5),(0,7),(1,3),(1,10),(2,13),(2,15),(3,9),(4,5),(4,8),(6,10),(6,12),(7,11),(8,9),(11,14),(12,15),(13,14)])",True,False,,
1,k_regular,k-regular,8,"(16, [(0,10),(0,15),(1,2),(1,5),(2,9),(3,4),(3,15),(4,8),(5,12),(6,13),(6,14),(7,9),(7,14),(8,12),(10,11),(11,13)])",True,False,,
1,k_regular,k-regular,9,"(16, [(0,3),(0,15),(1,10),(1,15),(2,9),(2,12),(3,6),(4,7),(4,11),(5,7),(5,12),(6,8),(8,13),(9,10),(11,14),(13,14)])",True,False,,
1,k_regular,k-regular,10,"(16, [(0,2),(0,10),(1,11),(1,15),(2,13),(3,5),(3,9),(4,5),(4,8),(6,8),(6,14),(7,9),(7,12),(10,15),(11,14),(12,13)])",True,False,,
1,k_regular,k-regular,11,"(16, [(0,6),(0,7),(1,11),(1,14),(2,8),(2,10),(3,9),(3,13),(4,8),(4,13),(5,9),(5,15),(6,15),(7,12),(10,14),(11,12)])",True,False,,
1,k_regular,k-regular,12,"(16, [(0,5),(0,9),(1,7),(1,9),(2,6),(2,10),(3,8),(3,11),(4,5),(4,14),(6,12),(7,15),(8,15),(10,13),(11,12),(13,14)])",True,False,,
1,k_regular,k-regular,13,"(16, [(0,14),(0,15),(1,9),(1,12),(2,6),(2,12),(3,4),(3,6),(4,13),(5,8),(5,9),(7,8),(7,10),(10,15),(11,13),(11,14)])",True,False,,
1,k_regular,k-regular,14,"(16, [(0,4),(0,13),(1,6),(1,8),(2,9),(2,15),(3,7),(3,13),(4,12),(5,9),(5,10),(6,10),(7,11),(8,14),(11,14),(12,15)])",True,False,,
1,k_regular,k-regular,15,"(16, [(0,9),(0,10),(1,7),(1,8),(2,6),(2,7),(3,5),(3,14),(4,5),(4,9),(6,13),(8,14),(10,11),(11,12),(12,15),(13,15)])",True,False,,
1,k_regular,k-regular,16,"(16, [(0,8),(0,13),(1,12),(1,13),(2,5),(2,9),(3,7),(3,9),(4,6),(4,8),(5,10),(6,10),(7,11),(11,14),(12,15),(14,15)])",True,False,,
1,k_regular,k-regular,17,"(16, [(0,1),(0,3),(1,15),(2,4),(2,6),(3,12),(4,11),(5,14),(5,15),(6,9),(7,8),(7,13),(8,12),(9,13),(10,11),(10,14)])",True,False,,
1,k_regular,k-regular,18,"(16, [(0,5),(0,6),(1,4),(1,10),(2,7),(2,12),(3,9),(3,13),(4,11),(5,8),(6,15),(7,10),(8,14),(9,11),(12,15),(13,14)])",True,False,,
