repeat,task_id,task_name,strategy,p_true,p_pred,p_gen,p_pred_error,p_gen_error,total_samples,parse_success_count,parse_fail_count,parse_fail_rate,judge_success_count,judge_fail_count,judge_fail_rate,pred_positive_count
1,trees_or_cycles,Trees-or-cycles,zero_shot,0.2,0.5000,0.0000,0.3000,0.2000,10,10,0,0.0000,10,0,0.0000,0
1,trees_or_cycles,Trees-or-cycles,zero_shot,0.4,0.6000,1.0000,0.2000,0.6000,10,10,0,0.0000,10,0,0.0000,10
1,trees_or_cycles,Trees-or-cycles,zero_shot,0.6,0.7000,1.0000,0.1000,0.4000,10,10,0,0.0000,10,0,0.0000,10
1,trees_or_cycles,Trees-or-cycles,zero_shot,0.8,0.4000,0.7000,0.4000,0.1000,10,10,0,0.0000,10,0,0.0000,7
1,union_of_components,Union-of-components,zero_shot,0.2,0.7000,1.0000,0.5000,0.8000,10,10,0,0.0000,10,0,0.0000,10
1,union_of_components,Union-of-components,zero_shot,0.4,0.3000,1.0000,0.1000,0.6000,10,10,0,0.0000,10,0,0.0000,10
1,union_of_components,Union-of-components,zero_shot,0.6,0.4000,0.8000,0.2000,0.2000,10,10,0,0.0000,10,0,0.0000,8
1,union_of_components,Union-of-components,zero_shot,0.8,0.3000,1.0000,0.5000,0.2000,10,10,0,0.0000,10,0,0.0000,10
1,motif_triangle,Motif-Triangle,zero_shot,0.2,0.5000,1.0000,0.3000,0.8000,10,10,0,0.0000,10,0,0.0000,10
1,motif_triangle,Motif-Triangle,zero_shot,0.4,0.6000,0.9000,0.2000,0.5000,10,10,0,0.0000,10,0,0.0000,9
1,motif_triangle,Motif-Triangle,zero_shot,0.6,0.4000,1.0000,0.2000,0.4000,10,10,0,0.0000,10,0,0.0000,10
1,motif_triangle,Motif-Triangle,zero_shot,0.8,0.7000,1.0000,0.1000,0.2000,10,9,1,0.1000,9,0,0.0000,9
2,trees_or_cycles,Trees-or-cycles,zero_shot,0.2,0.1000,0.8000,0.1000,0.6000,10,10,0,0.0000,10,0,0.0000,8
2,trees_or_cycles,Trees-or-cycles,zero_shot,0.4,0.5000,0.8000,0.1000,0.4000,10,10,0,0.0000,10,0,0.0000,8
2,trees_or_cycles,Trees-or-cycles,zero_shot,0.6,0.6000,0.5000,0.0000,0.1000,10,10,0,0.0000,10,0,0.0000,5
2,trees_or_cycles,Trees-or-cycles,zero_shot,0.8,0.6000,0.5000,0.2000,0.3000,10,10,0,0.0000,10,0,0.0000,5
2,union_of_components,Union-of-components,zero_shot,0.2,0.5000,1.0000,0.3000,0.8000,10,10,0,0.0000,10,0,0.0000,10
2,union_of_components,Union-of-components,zero_shot,0.4,0.6000,1.0000,0.2000,0.6000,10,10,0,0.0000,10,0,0.0000,10
2,union_of_components,Union-of-components,zero_shot,0.6,0.3000,0.9000,0.3000,0.3000,10,10,0,0.0000,10,0,0.0000,9
2,union_of_components,Union-of-components,zero_shot,0.8,0.7000,1.0000,0.1000,0.2000,10,6,4,0.4000,6,0,0.0000,6
2,motif_triangle,Motif-Triangle,zero_shot,0.2,0.3000,1.0000,0.1000,0.8000,10,10,0,0.0000,10,0,0.0000,10
2,motif_triangle,Motif-Triangle,zero_shot,0.4,0.6000,1.0000,0.2000,0.6000,10,10,0,0.0000,10,0,0.0000,10
2,motif_triangle,Motif-Triangle,zero_shot,0.6,0.3000,1.0000,0.3000,0.4000,10,10,0,0.0000,10,0,0.0000,10
2,motif_triangle,Motif-Triangle,zero_shot,0.8,0.5000,1.0000,0.3000,0.2000,10,10,0,0.0000,10,0,0.0000,10
3,trees_or_cycles,Trees-or-cycles,zero_shot,0.2,0.7000,0.5000,0.5000,0.3000,10,10,0,0.0000,10,0,0.0000,5
3,trees_or_cycles,Trees-or-cycles,zero_shot,0.4,0.6000,0.5000,0.2000,0.1000,10,10,0,0.0000,10,0,0.0000,5
3,trees_or_cycles,Trees-or-cycles,zero_shot,0.6,0.3000,0.5000,0.3000,0.1000,10,10,0,0.0000,10,0,0.0000,5
3,trees_or_cycles,Trees-or-cycles,zero_shot,0.8,0.0000,0.5000,0.8000,0.3000,10,10,0,0.0000,10,0,0.0000,5
