strategy,task_id,task_name,p_true,num_repeats,p_pred_mean,p_pred_std,p_gen_mean,p_gen_std,p_pred_error_mean,p_pred_error_std,p_gen_error_mean,p_gen_error_std
few_shot,motif_triangle,Motif-Triangle,0.2,3,0.5333,0.0471,1.0000,0.0000,0.3333,0.0471,0.8000,0.0000
few_shot,motif_triangle,Motif-Triangle,0.4,3,0.6000,0.0816,0.9667,0.0471,0.2000,0.0816,0.5667,0.0471
few_shot,motif_triangle,Motif-Triangle,0.6,3,0.4333,0.1886,0.8333,0.2357,0.2333,0.0943,0.3000,0.1414
few_shot,motif_triangle,Motif-Triangle,0.8,3,0.5000,0.1414,1.0000,0.0000,0.3000,0.1414,0.2000,0.0000
few_shot,trees_or_cycles,Trees-or-cycles,0.2,3,0.4333,0.1247,0.8333,0.2357,0.2333,0.1247,0.6333,0.2357
few_shot,trees_or_cycles,Trees-or-cycles,0.4,3,0.4333,0.1886,1.0000,0.0000,0.1667,0.0943,0.6000,0.0000
few_shot,trees_or_cycles,Trees-or-cycles,0.6,3,0.5000,0.1633,0.6667,0.2357,0.1667,0.0943,0.2000,0.1414
few_shot,trees_or_cycles,Trees-or-cycles,0.8,3,0.4000,0.4320,0.7000,0.2160,0.5333,0.2494,0.2333,0.0471
few_shot,union_of_components,Union-of-components,0.2,3,0.5000,0.1633,0.9667,0.0471,0.3000,0.1633,0.7667,0.0471
few_shot,union_of_components,Union-of-components,0.4,3,0.5333,0.0471,0.9000,0.1414,0.1333,0.0471,0.5000,0.1414
few_shot,union_of_components,Union-of-components,0.6,3,0.5667,0.0943,1.0000,0.0000,0.1000,0.0000,0.4000,0.0000
few_shot,union_of_components,Union-of-components,0.8,3,0.5333,0.1700,0.7667,0.3300,0.2667,0.1700,0.3000,0.1414
few_shot_cot,motif_triangle,Motif-Triangle,0.2,3,0.5000,0.1633,0.6667,0.4714,0.3000,0.1633,0.6000,0.2828
few_shot_cot,motif_triangle,Motif-Triangle,0.4,3,0.6000,0.2000,1.0000,0.0000,0.2000,0.2000,0.6000,0.0000
few_shot_cot,motif_triangle,Motif-Triangle,0.6,3,0.4000,0.0000,0.3333,0.4714,0.2000,0.0000,0.5333,0.0943
few_shot_cot,motif_triangle,Motif-Triangle,0.8,3,0.3500,0.0500,0.5000,0.4082,0.4500,0.0500,0.4333,0.2625
few_shot_cot,trees_or_cycles,Trees-or-cycles,0.2,3,0.5000,0.0000,0.8333,0.2357,0.3000,0.0000,0.6333,0.2357
few_shot_cot,trees_or_cycles,Trees-or-cycles,0.4,3,0.6333,0.0471,0.9000,0.1414,0.2333,0.0471,0.5000,0.1414
few_shot_cot,trees_or_cycles,Trees-or-cycles,0.6,3,0.4333,0.0471,1.0000,0.0000,0.1667,0.0471,0.4000,0.0000
few_shot_cot,trees_or_cycles,Trees-or-cycles,0.8,3,0.4333,0.1886,0.8000,0.2828,0.3667,0.1886,0.2667,0.0943
few_shot_cot,union_of_components,Union-of-components,0.2,3,0.3000,0.0000,1.0000,0.0000,0.1000,0.0000,0.8000,0.0000
few_shot_cot,union_of_components,Union-of-components,0.4,3,0.5333,0.3300,1.0000,0.0000,0.2667,0.2357,0.6000,0.0000
few_shot_cot,union_of_components,Union-of-components,0.6,3,0.4000,0.0000,0.6667,0.4714,0.2000,0.0000,0.4667,0.0943
few_shot_cot,union_of_components,Union-of-components,0.8,3,0.6500,0.1500,0.8167,0.2248,0.1500,0.1500,0.2167,0.0624
zero_shot,motif_triangle,Motif-Triangle,0.2,3,0.4000,0.0816,1.0000,0.0000,0.2000,0.0816,0.8000,0.0000
zero_shot,motif_triangle,Motif-Triangle,0.4,3,0.5333,0.0943,0.9667,0.0471,0.1333,0.0943,0.5667,0.0471
zero_shot,motif_triangle,Motif-Triangle,0.6,3,0.4000,0.0816,1.0000,0.0000,0.2000,0.0816,0.4000,0.0000
zero_shot,motif_triangle,Motif-Triangle,0.8,3,0.5000,0.1633,1.0000,0.0000,0.3000,0.1633,0.2000,0.0000
zero_shot,trees_or_cycles,Trees-or-cycles,0.2,3,0.4333,0.2494,0.4333,0.3300,0.3000,0.1633,0.3667,0.1700
zero_shot,trees_or_cycles,Trees-or-cycles,0.4,3,0.5667,0.0471,0.7667,0.2055,0.1667,0.0471,0.3667,0.2055
zero_shot,trees_or_cycles,Trees-or-cycles,0.6,3,0.5333,0.1700,0.6667,0.2357,0.1333,0.1247,0.2000,0.1414
zero_shot,trees_or_cycles,Trees-or-cycles,0.8,3,0.3333,0.2494,0.5667,0.0943,0.4667,0.2494,0.2333,0.0943
zero_shot,union_of_components,Union-of-components,0.2,3,0.6333,0.0943,1.0000,0.0000,0.4333,0.0943,0.8000,0.0000
zero_shot,union_of_components,Union-of-components,0.4,3,0.4667,0.1247,1.0000,0.0000,0.1333,0.0471,0.6000,0.0000
zero_shot,union_of_components,Union-of-components,0.6,3,0.3333,0.0471,0.9000,0.0816,0.2667,0.0471,0.3000,0.0816
