task_id,task_name,p_true,p_pred,p_gen,p_pred_error,p_gen_error,total_samples,parse_success_count,parse_fail_count,parse_fail_rate,judge_success_count,judge_fail_count,judge_fail_rate,pred_positive_count
trees_or_cycles,Trees-or-cycles,0.2,0.2500,1.0000,0.0500,0.8000,10,10,0,0.0000,10,0,0.0000,10
trees_or_cycles,Trees-or-cycles,0.4,0.4500,1.0000,0.0500,0.6000,10,10,0,0.0000,10,0,0.0000,10
trees_or_cycles,Trees-or-cycles,0.6,0.6500,1.0000,0.0500,0.4000,10,10,0,0.0000,10,0,0.0000,10
trees_or_cycles,Trees-or-cycles,0.8,0.8500,1.0000,0.0500,0.2000,10,10,0,0.0000,10,0,0.0000,10
union_of_components,Union-of-components,0.2,0.2500,1.0000,0.0500,0.8000,10,10,0,0.0000,10,0,0.0000,10
union_of_components,Union-of-components,0.4,0.4500,1.0000,0.0500,0.6000,10,10,0,0.0000,10,0,0.0000,10
union_of_components,Union-of-components,0.6,0.6500,1.0000,0.0500,0.4000,10,10,0,0.0000,10,0,0.0000,10
union_of_components,Union-of-components,0.8,0.8500,1.0000,0.0500,0.2000,10,10,0,0.0000,10,0,0.0000,10
motif_triangle,Motif-Triangle,0.2,0.2500,1.0000,0.0500,0.8000,10,10,0,0.0000,10,0,0.0000,10
motif_triangle,Motif-Triangle,0.4,0.4500,1.0000,0.0500,0.6000,10,10,0,0.0000,10,0,0.0000,10
motif_triangle,Motif-Triangle,0.6,0.6500,1.0000,0.0500,0.4000,10,10,0,0.0000,10,0,0.0000,10
motif_triangle,Motif-Triangle,0.8,0.8500,1.0000,0.0500,0.2000,10,10,0,0.0000,10,0,0.0000,10
