task_id,task_name,p_true,sample_id,raw_output,parse_success,judge_success,judge_positive,parse_failure_reason,judge_failure_reason
trees_or_cycles,Trees-or-cycles,0.2,1,"(10, [(0,4),(0,5),(1,2),(1,6),(2,4),(3,7),(3,9),(5,8),(6,9),(7,8)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,2,"(10, [(0,3),(0,9),(1,4),(1,7),(2,5),(2,8),(3,6),(4,9),(5,6),(7,8)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,3,"(10, [(0,1),(0,5),(1,2),(2,6),(3,7),(3,9),(4,6),(4,8),(5,7),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,4,"(10, [(0,7),(0,8),(1,4),(1,6),(2,3),(2,6),(3,7),(4,5),(5,9),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,5,"(10, [(0,6),(0,9),(1,8),(1,9),(2,3),(2,5),(3,7),(4,5),(4,6),(7,8)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,6,"(10, [(0,4),(0,8),(1,7),(1,8),(2,4),(2,6),(3,5),(3,7),(5,9),(6,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,7,"(10, [(0,2),(0,6),(1,2),(1,8),(3,4),(3,7),(4,5),(5,8),(6,9),(7,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,8,"(10, [(0,2),(0,7),(1,2),(1,9),(3,4),(3,8),(4,6),(5,8),(5,9),(6,7)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,9,"(10, [(0,2),(0,5),(1,4),(1,7),(2,8),(3,7),(3,8),(4,6),(5,9),(6,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.2,10,"(10, [(0,2),(0,3),(3,5),(1,7),(1,8),(3,8),(3,6),(4,6),(4,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,1,"(10, [(2,6),(0,3),(0,1),(4,7),(1,7),(1,6),(5,8),(5,6),(6,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,2,"(10, [(0,3),(0,5),(1,6),(1,7),(2,4),(2,7),(3,8),(4,5),(6,9),(8,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,3,"(10, [(0,7),(0,9),(1,6),(1,8),(2,4),(2,8),(3,5),(3,9),(4,5),(6,7)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,4,"(10, [(0,5),(0,9),(1,3),(1,7),(2,8),(2,9),(3,5),(4,6),(4,8),(6,7)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,5,"(10, [(0,5),(0,7),(1,8),(1,9),(2,3),(2,6),(3,8),(4,7),(4,9),(5,6)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,6,"(10, [(0,3),(0,5),(1,4),(1,6),(2,6),(2,8),(3,7),(4,9),(5,8),(7,9)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,0.4,7,"(10, [(0,4),(0,5),(1,8),(1,9),(2,5),(2,7),(3,6),(3,7),(4,9),(6,8)])",True,True,True,,
