"路径","是否存在"
"runs/stage4/验收报告.md","True"
"runs/stage4/总报告.md","True"
"runs/stage4/复现量化对比报告.md","True"
"runs/stage4/quant_summary.json","True"
"runs/stage4/关键输出/复现量化对比报告.md","True"
"runs/stage4/关键输出/property_metrics.csv","True"
"runs/stage4/关键输出/property_samples.csv","True"
"runs/stage4/关键输出/failure_cases.csv","True"
"runs/stage4/关键输出/llm_io.jsonl","True"
"runs/stage4/关键输出/pytest输出.txt","True"
"release/llm4graphgen_repro_bundle_20260214_144343.zip","True"
"release/llm4graphgen_repro_bundle_20260214_144343/SHA256清单.csv","True"
