sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_train,mol_weight,logp,num_h_donors,num_h_acceptors
1,"Heterocycles: The fourth known HIV inhibitor (c1ccccc1N) contains a heterocycle (pyridine). I will create new molecules with heterocycles, thinking that they might also inhibit HIV replication.",False,,RDKit 无法解析该 SMILES。,,,,,,,
2,"Here are 50 new molecules that might inhibit HIV replication, based on the structural features of the known inhibitors:",False,,RDKit 无法解析该 SMILES。,,,,,,,
5,c1ccncc1(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
6,c1ccccc1N(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
10,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
11,c1ccccc1N(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
15,c1ccncc1(=O)N1CCN(CC1)C(=O)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
16,c1ccccc1N(=O)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
20,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
21,c1ccccc1N(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
25,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
26,c1ccccc1N(=O)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
30,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
31,c1ccccc1N(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
35,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
36,c1ccccc1N(=O)C(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
40,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
