sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_train,mol_weight,logp,num_h_donors,num_h_acceptors
1,"Sure! Here are 50 new molecules that are likely to inhibit HIV replication, represented in SMILES notation:",False,,RDKit 无法解析该 SMILES。,,,,,,,
6,c1ccc(cc1)N(C(=O)N1C(=O)C)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
8,c1ccc(cc1)C(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
10,c1ccc(cc1)S(=O)N(C(=O)N1C(=O)C)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
12,c1ccc(cc1)N(C(=O)N1C(=O)C)S(=O)N,False,,RDKit 无法解析该 SMILES。,,,,,,,
16,c1ccc(cc1)S(=O)N(C(=O)N1C(=O)C)S(=O)N,False,,RDKit 无法解析该 SMILES。,,,,,,,
52,"Sure! Here are 50 new molecules in SMILES notation that are likely to inhibit HIV replication, based on the known inhibitors you provided:",False,,RDKit 无法解析该 SMILES。,,,,,,,
55,c1ccncc1(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
56,c1ccccc1N(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
60,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
61,c1ccccc1N(=O)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
65,c1ccncc1(=O)N1CCN(CC1)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
66,c1ccccc1N(=O)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
70,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
71,c1ccccc1N(=O)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
75,c1ccncc1(=O)N1CCN(CC1)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
76,c1ccccc1N(=O)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
80,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
81,c1ccccc1N(=O)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
85,c1ccncc1(=O)N1CCN(CC1)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
86,c1ccccc1N(=O)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
90,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
91,c1ccccc1N(=O)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
95,c1ccncc1(=O)N1CCN(CC1)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
96,c1ccccc1N(=O)C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
100,c1ccncc1(=O)N1CCN(CC1)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
101,c1ccccc1N(=O)C(=O)N1CCN(CC1)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
