sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_train,mol_weight,logp,num_h_donors,num_h_acceptors
1,"Sure! Here are 50 new molecules that are likely to inhibit HIV replication, represented in SMILES notation:",False,,RDKit 无法解析该 SMILES。,,,,,,,
2,N(C(=O)N1C(=O)C)C(=O)N1C(=O)C,True,CC(=O)n1c(=O)[nH]c(=O)n1C(C)=O,,0.015988,0,True,185.13899999999998,-1.3416999999999994,1,4
3,C(=O)N1CCN(CC1)C(=O)C,True,CC(=O)N1CCN(C=O)CC1,,0.000206,0,True,156.18499999999997,-0.6931,0,2
4,c1ccc(cc1)S(=O)(=O)N,True,NS(=O)(=O)c1ccccc1,,0.006594,0,True,157.194,0.3340000000000002,1,2
5,CCN(CC1)C(=O)N1C(=O)C,True,CCN1CCN(C(C)=O)C1=O,,0.000303,0,True,156.185,0.2904,0,2
6,c1ccc(cc1)N(C(=O)N1C(=O)C)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
7,C(=O)N1C(=O)C(=O)N1C(=O)C,True,CC(=O)N1C(=O)C(=O)N1C=O,,0.005762,0,True,156.097,-1.7249000000000005,0,4
8,c1ccc(cc1)C(=O)N1C(=O)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
9,CCN(CC1)C(=O)C(=O)N1C(=O)C,True,CCN1CCN(C(C)=O)C(=O)C1=O,,0.000885,0,True,184.195,-0.7764000000000002,0,3
10,c1ccc(cc1)S(=O)N(C(=O)N1C(=O)C)C,False,,RDKit 无法解析该 SMILES。,,,,,,,
11,C(=O)N1C(=O)C(=O)N1C(=O)C,True,CC(=O)N1C(=O)C(=O)N1C=O,,0.005762,0,True,156.097,-1.7249000000000005,0,4
12,c1ccc(cc1)N(C(=O)N1C(=O)C)S(=O)N,False,,RDKit 无法解析该 SMILES。,,,,,,,
13,CCN(CC1)C(=O)C(=O)N1C(=O)C,True,CCN1CCN(C(C)=O)C(=O)C1=O,,0.000885,0,True,184.195,-0.7764000000000002,0,3
14,c1ccc(cc1)C(=O)N1C(=O)C(=O)N1C(=O)C,True,CC(=O)N1C(=O)C(=O)N1C(=O)c1ccccc1,,0.002801,0,True,232.19500000000002,-0.040900000000000825,0,4
15,C(=O)N1C(=O)C(=O)N1C(=O)C,True,CC(=O)N1C(=O)C(=O)N1C=O,,0.005762,0,True,156.097,-1.7249000000000005,0,4
16,c1ccc(cc1)S(=O)N(C(=O)N1C(=O)C)S(=O)N,False,,RDKit 无法解析该 SMILES。,,,,,,,
17,CCN(CC1)C(=O)C(=O)N1C(=O)C,True,CCN1CCN(C(C)=O)C(=O)C1=O,,0.000885,0,True,184.195,-0.7764000000000002,0,3
18,c1ccc(cc1)C(=O)N1C(=O)C(=O)N1C(=O)C,True,CC(=O)N1C(=O)C(=O)N1C(=O)c1ccccc1,,0.002801,0,True,232.19500000000002,-0.040900000000000825,0,4
19,C(=O)N1C(=O)C(=O)N1C(=O)C,True,CC(=O)N1C(=O)C(=O)N1C=O,,0.005762,0,True,156.097,-1.7249000000000005,0,4
20,c1ccc(cc1)N(C(=O)N1C(=O)C)C(=O)N1C(=O)C,True,CC(=O)n1c(=O)n(-c2ccccc2)c(=O)n1C(C)=O,,0.003767,0,True,261.237,0.12090000000000023,0,4
21,CCN(CC1)C(=O)C(=O)N1C(=O)C,True,CCN1CCN(C(C)=O)C(=O)C1=O,,0.000885,0,True,184.195,-0.7764000000000002,0,3
